A,B,result
Sufficient statistic,Calculus of variations,0
Image analysis,Functional programming,0
Numerical analysis,Motion capture,0
Entropy,Probability,1
Genetic algorithm,Number theory,1
Decision theory,High-level programming language,0
Computational chemistry,Discrete mathematics,1
PSPACE,Unix,0
Concurrency (computer science),Computation,1
Communications protocol,Mathematical induction,1
Tensor,Database system,0
Database design,Recursion (computer science),0
OSI model,Computer science,1
Computational chemistry,Combinatorics,1
Calculus of variations,Information security,0
Personal computer,Unix,0
Computer programming,Data,1
Data mining,Computation,1
Cryptanalysis,Inequality (mathematics),0
Integral,Congestion control,0
Cryptography,Theoretical computer science,1
Data mining,Foundations of mathematics,1
Database normalization,Data,1
Cache coherence,Computing,1
Shortest path problem,Variable (computer science),0
Monte Carlo method,Lazy evaluation,0
Distributed computing,Computational complexity theory,1
Gradient descent,Iterative method,1
Estimation theory,Data,1
Newton's method,Arithmetic,1
Machine learning,Computer programming,1
Lisp (programming language),JavaScript,0
Recurrence relation,Mathematics,1
Virtual memory,Central processing unit,1
Martingale (probability theory),Packet switching,0
Geometric modeling,Theoretical computer science,1
Volume rendering,Procedural programming,0
Recursively enumerable set,Computability,1
Model of computation,Algorithm,1
Entropy,Data (computing),0
Bioinformatics,Data structure,1
Knowledge representation and reasoning,Bayesian,0
Graphical model,Amortized analysis,0
Graph (mathematics),Discrete mathematics,1
JavaScript,Digital electronics,1
Shared memory,System call,0
Software design,Routing,0
Queue (data structure),PSPACE,0
Automated planning and scheduling,Computer science,1
Signal processing,Stochastic,0
Computer vision,Graphics,0
Unsupervised learning,Algorithm,1
Computing,P versus NP problem,0
Security,Information theory,0
Web server,Digital electronics,1
Signal processing,Quantum cryptography,0
Algorithm design,Computer science,1
Deadlock,Database normalization,0
Mathematical optimization,Matrix (mathematics),1
Automatic programming,Image processing,0
Scheduling (computing),Computer,1
Big data,Logic,1
Motion capture,Computer programming,1
Hash table,Data structure,1
Lisp (programming language),Game theory,0
Python (programming language),Computer programming,1
Linked list,Control flow,0
Complexity class,Complexity,1
Computer network,Data,1
Computer vision,Probability theory,1
Traffic analysis,Mathematics,1
Graphical model,Statistical inference,1
Natural language processing,Probability,1
Propositional calculus,Imperative programming,0
Compiler optimization,Computer science,1
Approximation,Approximation algorithm,0
Software testing,Software development,1
Concurrency (computer science),Differential equation,0
3D modeling,Computation,1
Algorithm design,Logic,1
Mobile device,Software engineering,0
Data mining,Graph theory,1
Robotics,Computer,1
Expert system,Programming language,1
Analysis of algorithms,Theory of computation,1
Performance tuning,Embedded system,0
PSPACE,Mathematical model,0
Cluster analysis,"Best, worst and average case",0
Transaction processing,Approximation,0
Interpolation,Sequence alignment,0
Mathematical optimization,Algorithm,1
Programming paradigm,Semantics,0
Pipeline (computing),Computer architecture,1
Processor register,Inter-process communication,0
Question answering,Artificial intelligence,1
Interaction design,Pattern recognition,0
Graphical model,Artificial intelligence,1
Autonomous robot,Speech recognition,1
Polymorphism (computer science),Arithmetic,0
Imperative programming,Higher-order function,1
Speech recognition,Mathematics,1
Reinforcement learning,Web service,0
Computational problem,Gradient descent,0
Computational geometry,Algorithm design,1
NP (complexity),Polymorphism (computer science),0
Part-of-speech tagging,Communications protocol,0
Programming style,Data structure,1
Undecidable problem,Context-free language,0
Gradient descent,Problem solving,1
Input/output,Scheduling (computing),0
Compiler optimization,Computer programming,1
Algorithm design,Turing machine,1
Memory hierarchy,Pattern matching,0
Artificial intelligence,Reason,1
Program optimization,Foundations of mathematics,1
Coding theory,Suffix tree,0
Recursively enumerable set,Mathematics,1
Malware,Monad (functional programming),0
Program optimization,Recursion (computer science),0
Software development,Programming language,1
Query optimization,Relational algebra,1
Random graph,Application software,0
Lisp (programming language),Gradient descent,0
hypothesis testing,Random variable,1
Lock (computer science),Random variable,0
Propositional calculus,Data (computing),0
Atomicity (database systems),Machine learning,0
GPU,Algorithm design,1
Geometric modeling,Randomization,0
Cryptography,Modular programming,0
Interactivity,Computer science,1
Computational chemistry,Semidefinite programming,0
Computer animation,Computer graphics,1
File system,Input/output,1
High-level programming language,Document classification,0
Distributed computing,Gradient descent,0
Programming style,Ordinary differential equation,0
Unsupervised learning,Computer science,1
Java (programming language),Object (computer science),1
C++,Data,1
Programming style,Debugging,0
Distributed algorithms,Problem solving,1
Random walk,Conditional probability,1
Programming language,Discrete mathematics,1
Monad (functional programming),Computer programming,1
Random variable,Inter-process communication,0
Analysis of algorithms,Mathematical induction,1
SQL,Firewall (computing),0
Round-off error,Reinforcement learning,0
Mechanical engineering,Multi-core processor,0
Exponential family,List of undecidable problems,0
Pattern recognition,Logic,1
Message passing,Foundations of mathematics,1
Motion capture,Data,1
Distributed algorithms,Unsupervised learning,0
Support vector machine,Theoretical computer science,1
MATLAB,Interactivity,0
Iterative method,Superscalar,0
Prediction,Artificial intelligence,0
Distributed algorithms,Computability,1
C (programming language),Computer programming,1
Routing,Security,0
Object-oriented programming,Profiling (computer programming),0
Concurrency control,Database management system,1
Distributed algorithms,Combinatorics,1
Inter-process communication,Memory management,0
Virtual memory,Input/output,1
Monte Carlo method,Denotational semantics,0
Symmetric multiprocessing,Computer science,1
Functional programming,Computational complexity theory,1
Computer graphics,Integer,1
Unsupervised learning,Computational science,1
Symbol table,Computer architecture,1
ML (programming language),Mutual exclusion,0
System call,Operating system,1
Algorithm design,Prediction,0
Scope (computer science),Automatic programming,0
Kinematics,Mathematical induction,0
Higher-order function,Server (computing),0
Prolog,Algorithm,0
Abstract data type,Discrete mathematics,1
3D computer graphics,Computational problem,0
Autonomous robot,Kinematics,1
Scientific visualization,Unsupervised learning,0
Knowledge representation and reasoning,Computing,1
Design of experiments,Software development,0
Memory management,Synchronization,0
Estimation theory,Programmer,0
Sufficient statistic,Data,1
Differential equation,Internet Protocol Suite,0
Compiler optimization,3D modeling,0
Pattern matching,Iterative method,0
Transaction processing,User interface,0
Probability,Part-of-speech tagging,0
Document classification,Statistics,1
Algorithm,Algebra,1
Machine learning,Analysis of algorithms,1
Multi-core processor,Automated planning and scheduling,0
User interface,Digital electronics,1
Prolog,Software design,0
Multi-core processor,Time complexity,1
Geometry,Statistical inference,0
Recursion (computer science),Computing,1
Unsupervised learning,Computational complexity theory,1
Pattern recognition,Reinforcement learning,0
Autonomous robot,Robotics,1
Propositional calculus,Quantum computer,0
Question answering,Lexical analysis,0
Computer animation,Rendering (computer graphics),1
Variable (computer science),Pattern matching,0
Monad (functional programming),Programming language,1
Scripting language,Logic,1
B-tree,Graph theory,1
Type system,Processor register,0
Abstraction (computer science),NP-complete,0
Bayesian network,Random variable,1
Propositional calculus,Automated theorem proving,0
Parallel computing,Graph coloring,0
Interpolation,Polynomial,1
Scientific visualization,Matrix (mathematics),0
Autonomous robot,Cryptanalysis,0
Personal computer,Database transaction,0
Automated planning and scheduling,Visualization (computer graphics),0
Monad (functional programming),Distributed computing,0
Quantum computer,Integer,1
Round-off error,Design pattern (computer science),0
Computer architecture,Arithmetic,1
Software design,Computing,1
Query language,Algorithm,1
Communication,Server (computing),0
Computer software,Computer,1
Random graph,Finite set,1
Memory management,Central processing unit,1
Cluster analysis,Halting problem,0
Context-free grammar,Statistics,0
Arithmetic logic unit,Document classification,0
Recurrence relation,Computing,1
Concurrency (computer science),Foundations of mathematics,1
Scalability,Concurrency control,0
Computer simulation,Internet,0
Divide and conquer algorithm,Theoretical computer science,1
Least squares,Floating point,1
Computer network,Computer,1
Virtual reality,Computer science,1
Sentiment analysis,Expected value,1
Server (computing),Propositional calculus,0
Pushdown automata,Computer,1
Support vector machine,Combinatorics,1
Genetic algorithm,Integer,1
C++,Mechanical engineering,0
ML (programming language),Cryptanalysis,0
Mathematical optimization,Design pattern (computer science),0
Geometric modeling,Algorithm design,1
Expert system,Combinatorics,0
HTML,Application programming interface,0
Signal processing,Gradient descent,0
Amortized analysis,Computer architecture,0
User interface,Sentiment analysis,0
Concurrency control,Correlation and dependence,0
Linear programming,Structured programming,0
Numerical analysis,Mathematical induction,1
Amortized analysis,Parametric polymorphism,0
Quantum cryptography,Parametric polymorphism,0
Computer animation,Algorithm,1
Turing machine,Mathematics,1
Database management system,Microprocessor,0
Calculus,CPU cache,0
Calculus,Hidden Markov model,0
Concurrency (computer science),Input/output,1
Visualization (computer graphics),Personal computer,1
Scientific modelling,Authentication,0
Mathematics,Congestion control,0
Arithmetic,Sequence alignment,0
Parallel algorithm,Computation,1
Java (programming language),Kernel (computing),0
Scientific modelling,Spanning tree,0
Unsupervised learning,Computer,1
Data analysis,Scheduling (computing),0
Program analysis,Foundations of mathematics,1
Parallel algorithm,Theoretical computer science,1
Database management system,Number theory,1
Scientific visualization,Graphics,1
Tensor,Linear system,0
NP (complexity),Computer science,1
Symbol table,Mathematics,1
Software design,Computational complexity theory,1
Sufficient statistic,Wavelet,0
Superscalar,Semantics,0
Numerical analysis,Integer,1
Run time (program lifecycle phase),Modular programming,0
HTML,Data,0
Data structure,Synchronization,0
Computational complexity theory,Computation,1
Computer vision,Introduction to Algorithms,1
Knowledge representation and reasoning,Mathematical proof,0
Formal language,Algebra,1
Computer vision,Hash table,0
Design pattern (computer science),Formal methods,0
Undecidable problem,Calculus of variations,0
Profiling (computer programming),Computational complexity theory,1
Java (programming language),Computational complexity theory,1
Cryptography,Computer security,1
Object-oriented programming,Firewall (computing),0
Monad (functional programming),Recursion,1
Decision theory,Statistical inference,1
Document classification,Computer,1
Pipeline (computing),Computer programming,0
Application software,Time complexity,0
Signal processing,CPU cache,0
Encryption,Central processing unit,0
Suffix tree,Regular expression,1
Parametric polymorphism,Imperative programming,0
Scripting language,Software development,0
Robotics,Kinematics,1
Program analysis,Kinematics,0
Data type,Parsing,0
Formal verification,Cluster analysis,0
Recommender system,Mathematical optimization,1
Parametric polymorphism,Computer programming,1
Wavelet,Concurrency control,0
Compiler,Foundations of mathematics,1
Firewall (computing),Information assurance,1
Fourier analysis,Integer,1
Robotics,Discrete mathematics,1
Question answering,Modular programming,0
Speech recognition,Regular expression,0
Graphical user interface,Amortized analysis,0
Relational algebra,Graphical user interface,0
Modular programming,Monad (functional programming),0
Software testing,Object-oriented programming,1
3D computer graphics,Computation,1
JavaScript,Computability,1
Spanning tree,Iterative method,0
Java (programming language),Computer programming,1
Numerical analysis,Java (programming language),0
Virtual reality,Probability,0
Hidden Markov model,Reason,1
Relational database,Arithmetic,1
Motion planning,Packet switching,0
Algorithm design,Computability,1
Knowledge representation and reasoning,Combinatorics,1
Random graph,Algorithm,0
Data structure,Image analysis,0
C++,Algorithm,1
Performance tuning,Randomization,0
Vulnerability (computing),Polymorphism (computer science),0
Computer architecture,Mathematics,1
Genetic algorithm,Computability,1
Monte Carlo method,Statistical inference,1
Computational complexity theory,Polynomial,1
Context-free grammar,Distributed computing,0
Network security,Object-oriented programming,0
Computational chemistry,Computer programming,1
Database system,Recursion,0
Relational model,Data (computing),1
Digital signature,Iterative method,1
P versus NP problem,Algorithm,1
Database transaction,Database,0
Programming language,Approximation,0
Functional programming,Motion capture,0
Network security,Computer security,1
Speech recognition,Type system,0
List of undecidable problems,Database,0
Reason,Compiler,0
Java (programming language),Web browser,0
Complexity class,Iterative method,1
Halting problem,Computability,1
Higher-order function,Martingale (probability theory),0
Hash table,Problem solving,0
Feature extraction,Document classification,0
Image analysis,Packet switching,0
NP-complete,Mathematical induction,1
Software design,Amortized analysis,0
Concurrency (computer science),Logic,1
Graphical model,Algebra,1
Computer multitasking,Personal computer,0
Processor register,hypothesis testing,0
Shading,Quantum computer,0
Parallel algorithm,Polynomial,1
Scientific visualization,Personal computer,1
Data (computing),SQL,0
Pattern recognition,Mutual exclusion,0
Numerical analysis,Approximation,1
Web server,Computer programming,1
Natural language processing,Computer,1
Pattern matching,Programming language,1
Regular expression,Sequence alignment,0
Computational geometry,Probability theory,1
Data mining,Database,1
3D modeling,Abstraction (computer science),1
Complexity,Database design,0
Firewall (computing),Virtual memory,0
Randomized algorithm,Computational complexity theory,1
Machine learning,Theory of computation,1
Python (programming language),Automated planning and scheduling,0
Sentiment analysis,Markov chain,1
User interface,Computer multitasking,0
Automated planning and scheduling,Computational complexity theory,1
Computer security,Poisson distribution,0
Randomness,Mathematics,1
Stochastic process,Entropy,0
Index (database),Operating system,1
Program optimization,Abstraction (computer science),1
Computer graphics,Mathematics,1
Gradient descent,Shortest path problem,0
Recurrence relation,Cloud computing,0
System programming,Computer programming,1
First-order logic,Algorithm,1
OSI model,Kalman filter,0
Theory of computation,Computer science,1
Garbage collection (computer science),Python (programming language),0
Graphical user interface,Pattern matching,0
Robotics,Turing machine,1
Logic programming,Inheritance (object-oriented programming),0
Inheritance (object-oriented programming),High-level programming language,1
Probability theory,Image processing,0
Quantum cryptography,Probability theory,1
Computer programming,Computer,1
Suffix tree,MapReduce,0
Query language,Mutual exclusion,0
Run time (program lifecycle phase),Foundations of mathematics,1
Message Passing Interface,Undecidable problem,0
C (programming language),Computability,1
Index (database),Computer,1
Speech recognition,Artificial intelligence,1
Computational science,Design of experiments,0
Input/output,String (computer science),0
Machine translation,Graph theory,1
Random graph,Graph (mathematics),1
Reinforcement learning,Machine learning,1
Speech recognition,Computational complexity theory,1
Bayesian network,Conditional probability,1
Application programming interface,Programming language,1
Software framework,Geometric modeling,0
Random graph,Discrete mathematics,1
Transaction processing,Mathematics,1
Part-of-speech tagging,Interaction design,0
Graph (mathematics),Formal grammar,0
Bioinformatics,Computational science,1
Signal processing,Cryptography,0
Geometric modeling,Computation,1
Mathematical optimization,Instruction set,0
Complexity,Mathematical induction,1
Web server,Arithmetic,1
Programming paradigm,Graph theory,1
Cryptanalysis,Perl,0
Large deviations theory,Number theory,0
Structured programming,Telecommunications network,0
Hidden line removal,Integer,1
Round-off error,Mathematics,1
Compiler,Regular language,1
Data type,Program analysis,0
Graphical user interface,Computer,1
Software framework,Scheduling (computing),0
Context-free grammar,Logic,1
Linear programming,Python (programming language),0
Knowledge representation and reasoning,Logic,1
Hash table,Numerical analysis,0
Data structure,Discrete mathematics,1
Encryption,Data structure,0
Firewall (computing),Sequence alignment,0
Statistics,Mathematics,1
Randomness,Finite set,0
Graph (mathematics),Poisson distribution,0
Random walk,Computer simulation,0
Gradient descent,Theoretical computer science,1
Web service,Turing machine,0
Transaction processing,Mutual exclusion,0
PSPACE,Computational complexity theory,1
Finite-state machine,Unsupervised learning,0
Human-computer interaction,Object (computer science),0
World Wide Web,CPU cache,0
Deadlock,Kinematics,0
Formal grammar,Logic,0
Theory of computation,Web service,0
C (programming language),Computational complexity theory,1
Large deviations theory,Least squares,0
Structured programming,Linear programming,0
Computer vision,Stack (data structure),0
Complexity,Theoretical computer science,1
Authentication,Arithmetic logic unit,0
Iterative method,Floating point,1
Computational problem,Scalability,0
Robot,Quantum cryptography,0
Parallel computing,Computer architecture,1
Round-off error,Floating point,1
Speech recognition,Foundations of mathematics,1
Complexity,Integer,1
Data type,Message passing,0
Image,Bioinformatics,0
Web service,Computer network,1
Semidefinite programming,Matrix (mathematics),1
Randomized algorithm,Newton's method,0
Hidden line removal,Theoretical computer science,1
Ordinary differential equation,Virtual memory,0
MATLAB,Automata theory,1
Finite element method,Floating point,1
Parallel computing,Number theory,1
Fast Fourier transform,Web browser,0
Profiling (computer programming),Logic,1
Sentiment analysis,Artificial intelligence,1
Scientific visualization,Memory hierarchy,0
PSPACE,Theory of computation,1
Dynamic memory allocation,Operating system,1
Geometry,Wireless sensor network,0
Computer architecture,Combinational logic,0
Object-oriented programming,Integer,1
Central processing unit,Computer animation,0
Randomized algorithm,Complexity,1
Prolog,Data (computing),1
Parallel computing,Probability theory,0
Database system,Application software,0
Complexity class,Assembly language,0
Graph theory,Message Passing Interface,0
Recommender system,Probability theory,1
Internet,Graph (mathematics),1
Recursion (computer science),Computational geometry,0
Concurrency control,Game theory,0
Query optimization,Database,1
Gradient descent,Integer,1
Prediction,Uncertainty,1
Robotics,Mechanical engineering,1
Amortized analysis,Number theory,1
Speech recognition,Probability theory,1
Computer simulation,Probability theory,0
Software engineering,Automata theory,1
System programming,Arithmetic,1
Software development,Software design,1
Software framework,Computational science,1
Boundary value problem,Sentiment analysis,0
Program analysis,Mathematics,1
Programmer,Data structure,1
Computer network,Bayesian network,0
Quantum computer,Theory of computation,1
Machine learning,Mathematical induction,1
Bayesian,Conditional probability,1
Finite difference,Approximation,1
Least squares,Generic programming,0
GPU,Graphics,1
Prediction,GPU,0
Randomized algorithm,Combinatorics,1
Introduction to Algorithms,Functional programming,0
Recurrence relation,Digital electronics,0
Computer animation,Number theory,0
Cryptanalysis,Probability theory,1
C++,Data structure,1
Markov process,Abstract data type,0
String (computer science),Computational complexity theory,1
Model checking,Mathematics,1
Encryption,Recursion (computer science),0
Monte Carlo method,Combinatorics,1
Query optimization,CPU cache,0
Synchronization,Multi-core processor,0
Parsing,Algorithm design,1
Pushdown automata,Theory of computation,1
Computational complexity theory,Abstraction (computer science),1
Lisp (programming language),Computer science,1
Machine translation,Finite difference,0
Recurrence relation,Partial differential equation,0
Parsing,Context-free language,1
Memory hierarchy,Computer architecture,1
Spanning tree,Database,0
Object (computer science),Semantics,0
Computer simulation,Relational database,0
Web service,Communication,0
Machine translation,Computing,1
Analysis of algorithms,Semantics,0
Lexical analysis,Logic,1
Sentiment analysis,Statistical inference,1
Polynomial,Halting problem,0
Operating system,Computation,1
Probability theory,Mechanical engineering,0
Computational learning theory,SQL,0
B-tree,Data structure,1
Model of computation,Computer,1
Theory of computation,Foundations of mathematics,1
Decision theory,Computational learning theory,0
Mathematical proof,Run time (program lifecycle phase),0
Finite set,Expected value,0
Java (programming language),Large deviations theory,0
Social network,Discrete mathematics,1
Statistics,Reason,0
Pushdown automata,Number theory,1
Data type,Polymorphism (computer science),0
String (computer science),Arithmetic,1
Stochastic,Authentication,0
Python (programming language),Data type,1
Randomized algorithm,Abstraction (computer science),1
Application programming interface,Automata theory,1
SQL,Virtual memory,0
Poisson distribution,Feature extraction,0
Calculus,"Best, worst and average case",0
Sequence alignment,Message Passing Interface,0
Fast Fourier transform,Computation,1
Scripting language,File system,0
