A,B,result,RefD
Cryptography,Number_theory,1,-0.140437542
Concurrency_(computer_science),Operating_system,1,0.059293649
Randomized_algorithm,Control_flow,0,-0.012869441
Thread_(computer_science),Scripting_language,0,-0.053003593
Software_framework,Control_flow,1,0.00676722
Flow_network,Concurrency_(computer_science),0,0.021099794
Operating_system,Probability_theory,0,-0.032743835
Programmer,Mechanical_engineering,0,0.074363177
Pushdown_automaton,Control_flow,0,0.01071171
Quantum_cryptography,Cryptography,1,-0.330125577
JavaScript,Computer_programming,1,-0.011895398
Analysis_of_algorithms,Microprocessor,0,0.026739064
Markov_process,Probability_theory,1,0.16778996
Decision_theory,Computational_geometry,0,-0.093564506
Lexical_semantics,Semantics,1,0.10503118
Wireless_sensor_network,Communication,1,0.021026141
Inter-process_communication,Operating_system,1,-0.03324004
Monte_Carlo_method,Computation,1,0.00656876
OSI_model,Monte_Carlo_method,0,-0.003390161
Object-oriented_programming,Parsing,0,-0.000862831
Mathematics,Foundations_of_mathematics,1,-0.268064611
Multi-core_processor,Game_theory,0,0.000685108
Data_mining,Spanning_tree,0,-0.010468278
Visualization_(computer_graphics),Geometry,1,0.032950393
Randomness,Mutual_exclusion,0,-0.012796692
Graphics,Formal_grammar,0,0.007402833
Computational_geometry,Computational_science,1,-0.041544978
Quantum_mechanics,Probability,1,-0.033174635
Finite_element_method,Machine_learning,0,0.014559177
Recursion_(computer_science),Computer_programming,1,0.073228426
Statistical_inference,Data,1,-0.378741238
Concurrency_(computer_science),Parallel_computing,1,-0.051249995
Firewall_(computing),Computer_security,1,0.20540469
Martingale_(probability_theory),Expected_value,1,0.199872039
Parallel_algorithm,Divide_and_conquer_algorithm,0,-0.026185135
Graphical_user_interface,Congestion_control,0,-0.018089876
Semantics,Prediction,0,-0.018350376
Computational_geometry,Analysis_of_algorithms,1,0.038532566
High-level_programming_language,Computer_science,1,0.184027665
Floating_point,Recommender_system,0,0.001346176
Gradient_descent,Mathematical_optimization,1,0.05287841
Numerical_analysis,Vector_processor,0,-0.01097957
Assembly_language,Programming_paradigm,0,-0.135146264
Programming_language,Visualization_(computer_graphics),0,-0.041577769
Scheduling_(computing),Polymorphism_(computer_science),0,0.010229067
Symbol_table,Newton's_method,0,0
C_(programming_language),Computer_programming,1,-0.024079956
Compiler,Programming_language,1,0.090673281
Monte_Carlo_method,Algorithm,1,0.02238388
Pattern_matching,Distributed_computing,0,0.015762693
Computational_complexity_theory,Computational_problem,1,-0.488178166
Lazy_evaluation,Programming_language,1,0.322453129
PSPACE,Computational_complexity_theory,1,0.469854626
Cryptanalysis,Cryptography,1,0.009186855
Data_type,Instruction_set,0,-0.000542892
Geometry,Statistics,0,0.07116264
Parametric_polymorphism,Variable_(computer_science),1,-0.003243358
Artificial_intelligence,Computer,1,-0.027365276
Computational_complexity_theory,Polynomial,1,-0.001116817
Combinatorics,Mathematics,1,0.286053484
Java_(programming_language),Scope_(computer_science),1,-0.338621871
Question_answering,Expert_system,1,0.024460705
Database_normalization,Packet_switching,0,0
Genetic_algorithm,Algorithm,1,0.345723961
Software_testing,Uncertainty,0,0.00925032
Concurrency_control,Pushdown_automaton,0,0
NP_(complexity),Approximation_algorithm,0,-0.070055581
Natural_language_processing,HTML,0,0.018343428
Cache_coherence,Probability_theory,0,0
Index_(database),Computer_programming,1,0.05570987
Database,Object_(computer_science),1,-0.110732941
Automated_theorem_proving,Mathematical_induction,1,-0.487550404
Perl,Lexical_semantics,0,-0.014045355
Database_system,Lisp_(programming_language),0,-0.037742662
Relational_database,Relational_model,1,-0.076087163
Computer_vision,Computer_science,1,-0.148284572
Data_structure,Data_(computing),1,-0.007605962
Information_security,Sparse_matrix,0,-0.014397296
Halting_problem,Computability,1,-0.255354399
Procedural_programming,Computer_science,1,0.250521282
Object_(computer_science),Scope_(computer_science),0,-0.146080052
Higher-order_function,Fourier_analysis,0,0.026536223
Mathematical_optimization,Lazy_evaluation,0,-0.01119708
Operating_system,Central_processing_unit,1,0.056226343
Approximation_algorithm,Introduction_to_Algorithms,1,0.078245105
Regular_language,Calculus_of_variations,0,0.004380219
PSPACE,Turing_machine,1,0.28773515
Hidden_Markov_model,Markov_chain,1,0.150386077
Entropy,Virtual_reality,0,0.009874533
System_programming,Unix,1,0.189330294
Computational_complexity_theory,Computer_science,1,0.041433121
Automated_theorem_proving,Mathematical_proof,1,-0.408828663
Random_walk,Graph_theory,1,0.042675399
Authentication,Information_security,1,0.194596421
NP_(complexity),Computational_complexity_theory,1,-0.008140856
Gradient_descent,Turing_machine,0,0.013027536
Software_development,Software_design,1,0.289342656
Amortized_analysis,Data_structure,1,0.136970642
Large_deviations_theory,Probability_theory,1,0.223155041
Martingale_(probability_theory),Robotics,0,0.002524114
Semantics,Higher-order_function,0,-0.014956728
Stochastic_process,Continuous_function,1,0.025732338
Mathematical_model,Authentication,0,0
Abstraction_(computer_science),Computer_science,1,0.256116902
Genetic_algorithm,Cloud_computing,0,-0.000992413
World_Wide_Web,Cryptography,0,0.013949571
Software_design,Computer_programming,1,-0.222972024
Multi-core_processor,Parallel_computing,1,0.343128853
Computer_network,Communications_protocol,1,-0.267853511
Computational_geometry,Computer_graphics,1,0.226466911
Part-of-speech_tagging,Abstract_data_type,0,0
Artificial_intelligence,Programming_language,1,-0.161926895
Turing_machine,Automata_theory,1,0.316775755
Computational_learning_theory,Parametric_polymorphism,0,-0.004274115
Routing,Computer_network,1,0.198495401
Document_classification,Machine_learning,1,0.24725547
Operating_system,Input/output,1,-0.219715551
Programming_style,Computer_programming,1,0.196324431
Mathematics,Lazy_evaluation,0,-0.06487123
World_Wide_Web,Machine_learning,0,-0.061359675
Cryptanalysis,Algorithm,1,0.092754966
Congestion_control,Security,0,0
Interactivity,Decision_theory,0,0
Calculus,Model_of_computation,0,-0.041692292
Random_graph,Graph_theory,1,0.127925882
Symmetric_multiprocessing,Database_normalization,0,0
Compiler,Computer_programming,1,-0.183442574
Robotics,Artificial_intelligence,1,-0.022713823
Database,Operating_system,1,0.034225937
System_call,Interactivity,0,0
Divide_and_conquer_algorithm,Modular_arithmetic,0,0.04700842
Virtual_reality,Computer_graphics,1,0.023560512
Social_network,Compiler,0,-0.008053535
Suffix_tree,String_searching_algorithm,1,-0.351588844
Peer-to-peer,Computer_network,1,0.159545009
Congestion_control,Logic_programming,0,0.004482701
Predicate_logic,Scope_(computer_science),0,-0.004315867
ML_(programming_language),Programming_language,1,0.460901626
Imperative_programming,Control_flow,1,-0.130037213
Sequence_alignment,Feature_extraction,0,-0.017781855
Approximation_algorithm,Algorithm,1,0.239467534
Robot,Autonomous_robot,0,-0.230884905
Neural_network,Machine_learning,1,-0.004231854
Type_system,Reinforcement_learning,0,0.029449714
Algorithm,Computer_science,1,-0.074289158
Data_(computing),Randomized_algorithm,0,0.0155256
Python_(programming_language),Digital_signature,0,-0.021473957
Computer_network,Automated_planning_and_scheduling,0,0.021804742
Feature_extraction,Algorithm,1,0.136421544
Support_vector_machine,Algorithm,1,0.100453598
C++,Floating_point,1,-0.155714688
CPU_cache,Central_processing_unit,1,0.213924687
B-tree,Ray_tracing_(graphics),0,0.00426384
Pushdown_automaton,Theory_of_computation,1,0.022379816
Estimation_theory,Expected_value,1,0.117607807
Queue_(data_structure),Functional_programming,0,0.065514347
Lisp_(programming_language),Scope_(computer_science),1,-0.151150603
Formal_methods,Compiler,0,0.016842161
Symmetric_multiprocessing,Internet,0,0.070711248
Data_(computing),Undecidable_problem,0,0.007360595
Pushdown_automaton,String_(computer_science),1,0.056274202
Graphical_user_interface,Formal_language,0,0.017408662
Interpolation,Numerical_analysis,1,0.207048436
Formal_grammar,Modular_programming,0,-0.025656968
Computational_geometry,Stochastic,0,-0.030987143
Computer_vision,Analysis_of_algorithms,1,-0.282975473
Database_design,Data_structure,1,-0.007455354
Support_vector_machine,Semantics,0,0.003779787
Wireless_sensor_network,Scientific_visualization,0,0
Monte_Carlo_method,Query_language,0,0
Embedded_system,Program_optimization,0,-0.127067257
String_searching_algorithm,Regular_expression,1,0.448130272
Quantum_mechanics,Continuous_function,1,-0.041742813
Compiler_optimization,Cache_coherence,0,0.057163615
Dynamic_memory_allocation,Array_data_structure,1,0.000937458
Interaction_design,User_interface,1,-0.143457694
Rendering_(computer_graphics),Shading,1,-0.02145356
P_versus_NP_problem,Dynamic_memory_allocation,0,0
Numerical_analysis,Polynomial,1,-0.059822418
Packet_switching,First-order_logic,0,-0.001495998
Computer_architecture,Scientific_modelling,0,-0.007615692
Algorithm_design,Computer_science,1,-0.074289158
Functional_programming,Variable_(computer_science),1,-0.096493597
Part-of-speech_tagging,Natural_language,1,0.09825178
C_(programming_language),Synchronization,0,-0.003546516
Recursion_(computer_science),Algorithm,1,0.102662625
Parallel_algorithm,Computer_science,1,0.22754649
Recommender_system,Shortest_path_problem,0,0.004247174
Knowledge_representation_and_reasoning,Mathematics,1,0.061615247
Sparse_matrix,Matrix_(mathematics),1,0.301433046
OSI_model,Semidefinite_programming,0,0
Relational_model,Flow_network,0,0
Random_graph,Probability_theory,1,0.375564474
Round-off_error,Randomization,0,-0.001818663
Analysis_of_algorithms,Computer_programming,1,-0.084474599
Software_development,Software_engineering,1,0.310302294
Graphical_model,Probability,1,0.020715549
Polymorphism_(computer_science),Computer_science,0,0.241655076
Computational_chemistry,Computer_science,1,-0.052227801
CPU_cache,Expert_system,0,-0.018251515
Boundary_value_problem,Nonlinear_system,1,-0.129011856
Firewall_(computing),Application_programming_interface,0,0.032870174
Recursion_(computer_science),Random_walk,0,0.000669005
Bayesian_probability,Data,1,-0.400697728
Motion_planning,Robotics,1,0.354830194
Software_testing,Software_development,1,-0.065497204
Computational_chemistry,Computer_programming,1,-0.164495397
Natural_language,Bayesian_network,0,-0.003937137
File_system,Operating_system,1,0.246911427
Statistical_inference,Probability,1,0.004297616
First-order_logic,Floating_point,0,-0.004700895
Round-off_error,Numerical_analysis,1,0.281093334
Signal_processing,Unix,0,0.003309597
Deadlock,Operating_system,1,0.110815713
Kernel_(computing),Data_warehouse,0,0
Automata_theory,Programming_language,0,0.065114266
Relational_database_management_system,Relational_model,1,-0.076087163
Interactivity,"Best,_worst_and_average_case",0,0
Automated_theorem_proving,Graph_coloring,0,-0.009970932
Computer_programming,Poisson_distribution,0,-0.00724962
Memory_management,Database_system,0,0.026357767
Hash_table,Data_(computing),1,0.014223918
Matrix_(mathematics),Mathematics,1,0.368831289
Computer_network,Data,1,0.014694964
Recursively_enumerable_set,Robotics,0,0
Graph_(mathematics),Modular_arithmetic,0,0.007922415
Economics,Relational_database,0,0.001452348
Lisp_(programming_language),Programming_language,1,0.225364841
Parallel_computing,Computing,1,-0.1803767
Computational_complexity_theory,Integer,1,0.040092844
Encryption,Model_checking,0,-0.004786028
Randomized_algorithm,Computational_complexity_theory,1,-0.028082181
Logic_programming,Distributed_algorithms,0,-0.020286084
NP-complete,Computational_complexity_theory,1,0.244238168
Discrete_mathematics,Interactivity,0,-0.074449612
Lisp_(programming_language),Functional_programming,1,0.059948591
Random_walk,First-order_logic,0,-0.001141616
Central_processing_unit,Computer,1,-0.042617209
Data_(computing),Communication,0,0.012579263
Cryptographic_hash_function,Information_security,1,0.0031455
Large_deviations_theory,Software_framework,0,0.010938659
Wavelet,Model_checking,0,0
Machine_learning,Statistics,1,0.085296072
Relational_model,Predicate_logic,1,0.064877213
Kinematics,Vulnerability_(computing),0,0
3D_modeling,Inference,0,0.008653442
User_interface_design,User_interface,1,0.007704849
Context-free_grammar,Server_(computing),0,0
Computational_problem,Graphical_user_interface,0,0
Parallel_algorithm,Newton's_method,0,0.000572666
Formal_methods,Parametric_polymorphism,0,-0.03419689
Semantics_of_programming_languages,Programming_language,1,0.11060461
Poisson_distribution,Expected_value,1,0.185260499
Computer_programming,Computational_complexity_theory,1,0.167018835
Cryptanalysis,Modular_arithmetic,1,0.040929383
Round-off_error,Information_assurance,0,0
Turing_machine,Mathematics,1,0.201428935
Inequality_(mathematics),Integer,1,0.20945978
Polymorphism_(computer_science),Personal_computer,0,0.009465426
Flow_network,Personal_computer,0,0
Communications_protocol,Algorithm,1,0.157040944
Haskell_(programming_language),Random_variable,0,0.002311233
Computer_network,Data_(computing),1,-0.458521342
Pattern_matching,Superscalar,0,-0.004252039
Linear_algebra,Polynomial,1,-0.039357622
Computer_programming,Computing,1,-0.069810065
Computer_network,Computer,1,-0.035577614
Operating_system,Computing,1,-0.220684296
Cluster_analysis,Communication,0,0.003759091
Lisp_(programming_language),Computer_science,1,0.167597277
Haskell_(programming_language),Functional_programming,1,0.27069467
Calculus,Arithmetic,1,-0.054645271
NP_(complexity),Turing_machine,1,0.212713961
"Best,_worst_and_average_case",Computer_science,1,0.498133199
Conditional_probability,Martingale_(probability_theory),0,-0.059254606
P_versus_NP_problem,Computer_science,1,0.170944775
Monte_Carlo_method,Integral,1,0.030382411
Visualization_(computer_graphics),Mathematics,1,0.065935137
Inheritance_(object-oriented_programming),Computational_science,0,-0.003994379
Unsupervised_learning,Program_analysis,0,-0.066128697
Ordinary_differential_equation,Superscalar,0,-0.001942053
Rendering_(computer_graphics),Image,0,0.044665293
NP-complete,HTML,0,0.003986972
Knowledge_representation_and_reasoning,Computational_complexity_theory,0,0.089327508
Robotics,Kinematics,1,-0.019747223
Memory_hierarchy,Operating_system,0,0.132532914
Quantum_mechanics,Randomness,1,-0.026842611
Abstraction_(computer_science),Processor_register,0,0.00408535
Correlation_and_dependence,Logic,0,0.011105792
Memory_hierarchy,Computer_architecture,1,-0.052820762
Computational_complexity_theory,Discrete_mathematics,1,-0.141178137
Large_deviations_theory,Parallel_computing,0,0.009396311
Reinforcement_learning,Machine_learning,1,0.297419859
Profiling_(computer_programming),Computer_programming,1,0.054557302
Relational_database,Analysis_of_algorithms,1,0.003688752
Parsing,Natural_language,1,0.086944721
Symbol_table,Scientific_modelling,0,0
Computer_vision,Pattern_recognition,1,0.097601175
Computational_complexity_theory,Cryptography,0,0.167246579
User_interface,Computer,1,0.067942238
Virtual_memory,Computer_architecture,1,0.069923736
Digital_signature,Data_mining,0,-0.00722089
Analysis_of_algorithms,Introduction_to_Algorithms,1,-0.075849866
Computer_graphics,Computer_science,1,-0.146230166
Autonomous_robot,Introduction_to_Algorithms,0,0
Database_management_system,Relational_algebra,1,-0.293015424
Relational_database,Poisson_distribution,0,0
Graphical_model,Random_variable,1,-0.294941188
Digital_electronics,Programming_language,0,0.017127585
Algorithm,Computation,1,-0.175243163
Computer_science,Foundations_of_mathematics,1,-0.15446968
Lisp_(programming_language),Logic_programming,1,-0.080547777
Firewall_(computing),Network_security,1,-0.093560841
Recursively_enumerable_set,Conditional_probability,0,0.005320584
Operating_system,Computer,1,-0.10083713
Time_complexity,Computer_science,1,0.249286836
Linear_programming,Matrix_(mathematics),1,0.072433714
Logic_programming,Computer_programming,1,0.000766727
Artificial_intelligence,Computational_science,1,-0.345800072
Syntax,Computer_programming,0,-0.01503495
3D_modeling,Python_(programming_language),0,0.051323867
String_(computer_science),Data_structure,1,-0.061550447
Computer_graphics,Computer,1,0.000361331
Algorithm,Mathematics,1,0.146581374
Unsupervised_learning,Lazy_evaluation,0,-0.000636795
Congestion_control,Computer_network,1,0.158007837
Control_flow,High-level_programming_language,0,0.118205459
Database,Lazy_evaluation,0,-0.04867587
Complexity,Hidden_line_removal,0,0
Programming_language,Computer,1,-0.032841279
Polynomial,Integer,1,0.238065235
Cryptographic_hash_function,Cryptography,1,-0.046213564
Combinatorics,Motion_capture,0,0.006425571
Ray_tracing_(graphics),Computational_geometry,1,0.033873803
Differential_equation,Coding_theory,0,-0.243357131
Abstract_data_type,Combinatorics,0,0.017305773
Motion_planning,Inference,0,-0.013536441
Sufficient_statistic,Software_framework,0,-0.00630143
Mathematical_optimization,B-tree,0,-0.005933871
Markov_chain,Random_variable,1,0.054553104
Differential_equation,Polynomial,0,0.01136723
Statistics,Mathematics,1,-0.053380594
Modular_arithmetic,Kalman_filter,0,-0.00926308
Query_optimization,Database_management_system,1,0.472550149
Web_service,Inter-process_communication,0,0.018627281
Modular_arithmetic,NP_(complexity),0,0.01887476
Object-oriented_programming,Embedded_system,0,0.003713688
Network_security,Linear_system,0,0
Scheduling_(computing),Problem_solving,0,-0.001205062
Computer_security,Problem_solving,0,-0.00088758
Kalman_filter,Thread_(computer_science),0,0.002071981
Relational_model,Data,1,0.07767294
Machine_learning,Algorithm_design,1,0.089814425
Cryptanalysis,Information_security,1,0.004233711
Analysis_of_algorithms,Turing_machine,1,0.080343091
Graphical_model,Machine_learning,1,0.066957061
Quantum_computer,Computational_complexity_theory,1,0.069381669
Artificial_intelligence,Mathematics,1,-0.000603197
Stochastic_process,Probability_theory,1,-0.038145391
Web_browser,Recursively_enumerable_set,0,0
Semantics_of_programming_languages,Rendering_(computer_graphics),0,-0.035389832
Floating_point,Computer_multitasking,0,0.00197056
Dynamic_memory_allocation,Operating_system,1,0.363324815
Poisson_distribution,Formal_grammar,0,-0.003075685
Java_(programming_language),Computer,1,-0.016145704
Queue_(data_structure),Mobile_device,0,0
Support_vector_machine,Packet_switching,0,0
Formal_language,Computer_science,1,-0.051724502
Graphical_user_interface,Asymptotic_analysis,0,0
Wavelet,Web_search_engine,0,0
Concurrency_control,Analysis_of_algorithms,1,0.013997076
Newton's_method,Sentiment_analysis,0,-0.002570991
Robotics,Software_engineering,1,-0.048589448
Question_answering,Semantics_of_programming_languages,0,0.04881903
Database_system,Database,1,0
Graph_theory,Ordinary_differential_equation,0,-0.013811903
Random_graph,Data_type,0,0.006251593
C_(programming_language),Social_network,0,-0.002879586
Question_answering,Artificial_intelligence,1,0.183637333
